dyke_id,vertex_id,x,y,z
1,2,700990.9375,6543879.27734375,60.171939849853516,
1,3,700960.83203125,6543945.875,60.473846435546875,
1,4,700703.873046875,6544514.29296875,62.977130889892578,
1,5,700994.390625,6543871.640625,60.137313842773438,
1,7,701016.677734375,6543822.3359375,59.913799285888672,
1,60,701029.10546875,6543794.84765625,59.694465637207031,
1,61,701263.259765625,6543276.8671875,55.561832427978516,
1,62,701376.017578125,6543027.4296875,53.617424011230469,
1,63,701384.69140625,6543008.2421875,53.056968688964844,
1,64,701388.41796875,6543000,52.816139221191406,
1,252,701005.15625,6543000,54.921283721923828,
1,253,700969.517578125,6543078.796875,55.399684906005859,
1,254,700777.4453125,6543503.45703125,57.978115081787109,
1,255,700684.75,6543708.3984375,59.613296508789063,
1,256,700622.388671875,6543846.2734375,60.238357543945313,
1,258,700619.0078125,6543853.75,60.272247314453125,
1,263,700585.330078125,6543928.20703125,60.609798431396484,
1,264,700486.880859375,6544145.859375,61.596549987792969,
1,265,700361.51171875,6544423.03515625,62.584983825683594,
1,266,700329.9453125,6544492.82421875,62.554916381835938,
1,267,700260.056640625,6544647.3359375,62.857601165771484,
1,268,700236.1171875,6544700.26171875,63.092014312744141,
1,270,700232.84375,6544707.5,63.124073028564453,
1,275,700200.234375,6544779.59375,63.443382263183594,
1,276,699970.775390625,6545286.88671875,65.690223693847656,
1,277,699849.8203125,6545554.30078125,66.749366760253906,
1,279,699846.68359375,6545561.234375,66.776824951171875,
1,284,699815.43359375,6545630.328125,67.050506591796875,
1,285,699810.548828125,6545641.125,67.093276977539063,
1,286,699674.68359375,6545941.51953125,67.690010070800781,
1,287,699463.58984375,6546408.23828125,68.834243774414063,
1,289,699460.53125,6546415,68.850814819335937,
1,294,699430.021484375,6546482.453125,69.016166687011719,
1,295,699414.083984375,6546517.69140625,69.102546691894531,
1,296,699376.37890625,6546601.046875,69.145133972167969,
1,297,699094.9453125,6547223.2578125,71.256500244140625,
1,298,699077.33984375,6547262.18359375,71.32672119140625,
1,300,699074.375,6547268.734375,71.338539123535156,
1,305,699063.86328125,6547291.9765625,71.380470275878906,
1,306,699044.873046875,6547333.9609375,71.690742492675781,
