formation,X,Y,Z,,,,
1,701005.156250000000000,6543000.000000000000000,54.921283721923800,,,,
1,700969.517578125000000,6543078.796875000000000,55.399684906005800,,,,
1,700777.445312500000000,6543503.457031250000000,57.978115081787100,,,,
1,700684.750000000000000,6543708.398437500000000,59.613296508789000,,,,
1,700622.388671875000000,6543846.273437500000000,60.238357543945300,,,,
1,700619.007812500000000,6543853.750000000000000,60.272247314453100,,,,
1,700585.330078125000000,6543928.207031250000000,60.609798431396400,,,,
1,700486.880859375000000,6544145.859375000000000,61.596549987792900,,,,
1,700361.511718750000000,6544423.035156250000000,62.584983825683500,,,,
1,700329.945312500000000,6544492.824218750000000,62.554916381835900,,,,
1,700260.056640625000000,6544647.335937500000000,62.857601165771400,,,,
1,700236.117187500000000,6544700.261718750000000,63.092014312744100,,,,
1,700232.843750000000000,6544707.500000000000000,63.124073028564400,,,,
1,700200.234375000000000,6544779.593750000000000,63.443382263183500,,,,
1,699970.775390625000000,6545286.886718750000000,65.690223693847600,,,,
1,699849.820312500000000,6545554.300781250000000,66.749366760253900,,,,
1,699846.683593750000000,6545561.234375000000000,66.776824951171800,,,,
1,699815.433593750000000,6545630.328125000000000,67.050506591796800,,,,
1,699810.548828125000000,6545641.125000000000000,67.093276977539000,,,,
1,699674.683593750000000,6545941.519531250000000,67.690010070800700,,,,
1,699463.589843750000000,6546408.238281250000000,68.834243774414000,,,,
1,699460.531250000000000,6546415.000000000000000,68.850814819335900,,,,
1,699430.021484375000000,6546482.453125000000000,69.016166687011700,,,,
1,699414.083984375000000,6546517.691406250000000,69.102546691894500,,,,
1,699376.378906250000000,6546601.046875000000000,69.145133972167900,,,,
1,699094.945312500000000,6547223.257812500000000,71.256500244140600,,,,
1,699077.339843750000000,6547262.183593750000000,71.326721191406200,,,,
1,699074.375000000000000,6547268.734375000000000,71.338539123535100,,,,
1,699063.863281250000000,6547291.976562500000000,71.380470275878900,,,,
1,699044.873046875000000,6547333.960937500000000,71.690742492675700,,,,
1,698808.251953125000000,6547857.093750000000000,75.556755065917900,,,,
1,698690.972656250000000,6548116.378906250000000,76.903816223144500,,,,
1,698688.218750000000000,6548122.468750000000000,76.935440063476500,,,,
1,698677.650390625000000,6548145.832031250000000,77.056823730468700,,,,
1,698660.935546875000000,6548182.789062500000000,77.580673217773400,,,,
1,698558.562500000000000,6548409.125000000000000,80.788780212402300,,,,
1,698461.912109375000000,6548622.808593750000000,83.500144958496000,,,,
1,698339.230468750000000,6548894.042968750000000,84.421173095703100,,,,
1,698304.507812500000000,6548970.812500000000000,84.902572631835900,,,,
1,698302.054687500000000,6548976.234375000000000,84.936569213867100,,,,
1,698277.669921875000000,6549030.144531250000000,85.274627685546800,,,,
1,698206.103515625000000,6549188.375000000000000,86.266815185546800,,,,
1,697957.525390625000000,6549737.953125000000000,74.187080383300700,,,,
1,697918.812500000000000,6549823.539062500000000,72.627456665039000,,,,
1,697916.265625000000000,6549829.171875000000000,72.524810791015600,,,,
1,697915.898437500000000,6549829.984375000000000,72.486244201660100,,,,
1,697889.361328125000000,6549890.640625000000000,69.668029785156200,,,,
1,697882.111328125000000,6549907.210937500000000,68.898010253906200,,,,
1,697633.683593750000000,6550475.039062500000000,49.414367675781200,,,,
1,697580.804687500000000,6550595.902343750000000,43.800628662109300,,,,
1,697577.296875000000000,6550603.921875000000000,43.428188323974600,,,,
1,697547.255859375000000,6550672.585937500000000,40.238929748535100,,,,
1,697540.837890625000000,6550687.257812500000000,39.631752014160100,,,,
1,697320.763671875000000,6551190.277343750000000,18.812511444091700,,,,
1,697243.318359375000000,6551367.292968750000000,10.043388366699200,,,,
1,697238.695312500000000,6551377.859375000000000,9.519880294799800,,,,
1,697210.636718750000000,6551441.992187500000000,6.342733383178710,,,,
1,697190.468750000000000,6551488.089843750000000,4.009285926818840,,,,
